Program,Plik,Czas_Real[s],CPU_Percent,Max_RAM[KB]
exe/normalize1.out,tests/test-100kB.txt,0:01.89,108,4332
exe/normalize2.out,tests/test-100kB.txt,0:01.85,106,4204
exe/normalize3.out,tests/test-100kB.txt,0:01.64,108,4060
exe/normalize4.out,tests/test-100kB.txt,0:00.83,108,3968
exe/normalize5.out,tests/test-100kB.txt,0:00.67,107,3932
exe/normalize6.out,tests/test-100kB.txt,0:00.44,425,4340
exe/normalize1.out,tests/test-250kB.txt,0:04.85,109,5680
exe/normalize2.out,tests/test-250kB.txt,0:04.46,110,5136
exe/normalize3.out,tests/test-250kB.txt,0:04.13,109,4224
exe/normalize4.out,tests/test-250kB.txt,0:04.86,48,4096
exe/normalize5.out,tests/test-250kB.txt,0:01.83,105,4180
exe/normalize6.out,tests/test-250kB.txt,0:01.21,419,4992
exe/normalize1.out,tests/test-500kB.txt,0:09.75,108,7888
exe/normalize2.out,tests/test-500kB.txt,0:08.93,110,7152
exe/normalize3.out,tests/test-500kB.txt,0:08.38,109,5440
exe/normalize4.out,tests/test-500kB.txt,0:07.59,63,4832
exe/normalize5.out,tests/test-500kB.txt,0:03.77,105,4840
exe/normalize6.out,tests/test-500kB.txt,0:02.46,420,5844
exe/normalize1.out,tests/test-duplicates.txt,0:03.80,106,5084
exe/normalize2.out,tests/test-duplicates.txt,0:03.13,106,5072
exe/normalize3.out,tests/test-duplicates.txt,0:02.41,106,4096
exe/normalize4.out,tests/test-duplicates.txt,0:01.35,107,3944
exe/normalize5.out,tests/test-duplicates.txt,0:01.01,107,3820
exe/normalize6.out,tests/test-duplicates.txt,0:00.31,408,4236
exe/normalize1.out,tests/test-punct.txt,0:03.25,107,6400
exe/normalize2.out,tests/test-punct.txt,0:02.82,107,5448
exe/normalize3.out,tests/test-punct.txt,0:02.12,107,4352
exe/normalize4.out,tests/test-punct.txt,0:04.49,50,4096
exe/normalize5.out,tests/test-punct.txt,0:01.71,106,4184
exe/normalize6.out,tests/test-punct.txt,0:00.88,421,4596
exe/normalize1.out,tests/test-spaces.txt,0:04.75,107,5552
exe/normalize2.out,tests/test-spaces.txt,0:04.42,108,5256
exe/normalize3.out,tests/test-spaces.txt,0:03.98,109,4220
exe/normalize4.out,tests/test-spaces.txt,0:02.45,109,4052
exe/normalize5.out,tests/test-spaces.txt,0:02.04,108,4060
exe/normalize6.out,tests/test-spaces.txt,0:01.14,429,4560
